AAAP,2,O,H,|0.0182480601878567,0,;0.161800545669299,0.0304347914303745,;0,0.113043366099526,;0.396593575399115,0.286956604914958,;0.42579090965605,0.431884183154836,;0.624087697355607,0.566666830917922,;0.64720206102265,0.579710312959511,;0.715328606567618,0.660869756773842,;0.766423515726344,0.721739339634591,;0.73600987932234,0.750725000210145,;0.615571879162487,0.760869785759358,;0.614355333706326,0.582609009451887,;0.618005091729352,0.576811761394713,;0.64476897011033,0.582609009451887,;0.701946484895311,0.644927578239878,;0.614355333706326,0.620289889939099,;0.59732381897463,0.757971234194561,;1,1,;
AAL,2,O,H,|0,0,;0.254347501890219,0.206976744186045,;0.680434426275837,0.662791395348836,;0.458696068998291,0.574419069767441,;0.330434926276055,0.304651627906976,;0.413043223062271,0.341860930232557,;0.419565399811044,0.37907,;0.219564878071686,0.420930697674418,;0.465217376181468,0.372093720930231,;0.489130647448107,0.33953465116279,;0.760869896030388,0.623256046511628,;1,0.872093023255815,;0.915217571833726,0.867441860465116,;0.995652172022683,0.965116744186046,;0.919565399811044,1,;0.813043396975389,0.813953488372094,;0.765217724007706,0.741861162790698,;0.50217347920586,0.590697906976744,;
AAME,2,O,H,|0.463414634146341,0.254237288135592,;0.24390243902439,0.135593220338983,;0.365853658536585,0.118644067796609,;0,0,;0.402439024390244,0.169491525423728,;0.548780487804878,0.423728813559322,;0.597560975609756,0.440677966101695,;0.646341463414634,0.508474576271186,;0.768292682926829,0.83050847457627,;1,1,;0.963414634146341,1,;0.97560975609756,1,;0.707317073170732,0.983050847457628,;0.670731707317073,0.59322033898305,;0.621951219512195,0.59322033898305,;0.658536585365853,0.559322033898305,;0.670731707317073,0.542372881355931,;0.597560975609756,0.576271186440678,;
AAOI,2,O,H,|0,0,;0.0946882435769616,0.158013544018058,;0.325635179130526,0.300225733634311,;0.297921546864098,0.286681715575621,;0.297921546864098,0.291196388261851,;0.411085545285345,0.419864559819413,;0.424942361418559,0.496614221218961,;0.475750687240343,0.514672911963883,;0.614318617625547,0.571106320541761,;0.766743595090899,0.738148984198646,;0.942263266111609,0.882618510158013,;1,1,;0.92840668092533,0.961625282167043,;0.896074109947831,0.851015801354402,;0.817552151859619,0.880361173814898,;0.773672234104441,0.772009029345372,;0.778291172815513,0.744920767494357,;0.808314043490541,0.796839954853273,;
AAON,2,O,H,|0,0,;0.145882588235295,0.0865139949109414,;0.275294117647059,0.185750381679389,;0.310588235294118,0.267175318066158,;0.284706117647059,0.216284987277354,;0.437647294117647,0.371501526717557,;0.440000235294118,0.39694631043257,;0.581176941176471,0.534351145038168,;0.684705882352941,0.615776081424936,;0.80705905882353,0.77608117048346,;0.983529647058824,1,;0.967059058823529,1,;0.995294588235294,0.966920865139949,;1,0.982188295165394,;0.941176470588235,0.989821628498728,;0.903529647058824,0.905852162849873,;0.825882588235294,0.821882697201018,;0.821176470588236,0.829516539440204,;
AAPC,2,O,H,|0.468421052631578,0.473684210526316,;0.315789473684209,0.947368421052633,;0.0526315789473674,0,;0.0368421052631563,0.0263157894736837,;1,1,;0,0.447368421052633,;0.239473684210525,0.186842105263158,;0.239473684210525,0.186842105263158,;0.239473684210525,0.186842105263158,;0.263157894736842,0.526315789473684,;0.157894736842102,0.105263157894735,;0.210526315789474,0.157894736842107,;0.210526315789474,0.157894736842107,;0.210526315789474,0.157894736842107,;0.210526315789474,0.157894736842107,;0.210526315789474,0.157894736842107,;0.210526315789474,0.157894736842107,;0.131578947368419,0.0789473684210512,;
AAPL,2,O,H,|0,0,;0.137500124023408,0.236348443997573,;0.321875158935509,0.296928558282547,;0.33984413909903,0.254266445881703,;0.216406511779724,0.115187618158053,;0.183594175720116,0.119454085370812,;0.1937501889648,0.206484453371634,;0.340624998291016,0.397611228872762,;0.746093809509264,0.694539104561509,;0.500781445129349,0.653583903277823,;0.844531442687943,0.795221775151726,;0.967187663940391,0.937713059922093,;0.840624959228525,1,;0.889843463317938,0.851536019493514,;1,0.963310583335274,;0.864843547302294,0.950511778966571,;0.875000185546832,0.854095660913339,;0.865624953369152,0.824232352881198,;
AAVL,2,O,H,|0,0,;0.0812182741116752,0.0293333333333334,;0.147208121827411,0.0810666666666667,;0.248730964467005,0.245333333333333,;0.388324873096447,0.328,;0.459390862944162,0.464,;0.49492385786802,0.566666666666667,;0.723350253807107,0.68,;0.751269035532995,0.765333333333334,;0.898477157360406,0.873333333333333,;0.923857868020304,0.933333333333333,;1,1,;0.901015228426396,0.976,;0.923857868020304,0.909333333333333,;0.908629441624365,0.941333333333333,;0.901015228426396,0.914666666666667,;0.99492385786802,0.984,;0.893401015228426,0.96,;
AAWW,2,O,H,|0,0,;0.0553965510226264,0.0592369537386503,;0.147086982409363,0.0823292251334566,;0.115568554810209,0.072289264286071,;0.240687728617434,0.167670498762098,;0.288443211376655,0.354417505463605,;0.509073637235218,0.735943648187113,;0.638968645851262,0.649598559196643,;0.703916102403801,0.729919751999975,;0.715377322755048,0.686747056902315,;0.743075598266361,0.806224779741444,;0.840496783095171,0.830321368506162,;0.925501542406582,0.921686839526791,;1,0.969879515048144,;0.992359313780456,1,;0.857688852399455,0.962851502294328,;0.814708822405191,0.850401792209015,;0.667621839995828,0.769076282035772,;
AAXJ,2,O,H,|0,0,;0.154328713384101,0.219108351819529,;0.26097888820842,0.266241970384212,;0.23462970707281,0.244586179723267,;0.223337864073041,0.231847584242653,;0.30363885776175,0.292993938090717,;0.267252287672235,0.355414049576039,;0.435382755911825,0.458598864051245,;0.564617244088175,0.575796159032826,;0.553324899206412,0.550318840683097,;0.750313582143841,0.774522350440165,;0.770388861933643,0.780891648180471,;0.843161876642174,0.840764371779778,;0.810539296042748,0.820382338756091,;1,1,;0.843161876642174,0.895541555276037,;0.787955108161216,0.812738773824516,;0.805520852506794,0.80636947608421,;
