AEGN,2,O,H,|0,0,;0.0940855091627712,0.0757182767624021,;0.228494147444663,0.0626631853785906,;0.290322658688886,0.117493733681462,;0.231182320210302,0.117493733681462,;0.540322725893206,0.360313577023499,;0.470430233986622,0.804177545691906,;0.615591294513789,0.47780678851175,;0.814515810353713,1,;0.76881687333787,0.684073368146214,;0.951612890218519,0.817232637075718,;1,0.85378590078329,;0.889784916608849,0.819843080939948,;0.943548640738882,0.819843080939948,;0.997311827234363,0.882506788511749,;0.827957211816455,0.877284595300261,;0.720430301190942,0.631853785900783,;0.706989168545475,0.574412793733681,;
AEGR,2,O,H,|0.066869300911854,0,;0,0.106382978723404,;0.127659574468085,0.224924012158055,;0.133738601823708,0.185410334346505,;0.331306990881459,0.340425531914894,;0.404255319148936,0.379939209726444,;0.416413373860182,0.480243161094225,;0.550151975683891,0.522796352583587,;0.659574468085107,0.595744680851064,;0.768996960486322,0.753799392097264,;0.857142857142857,0.848024316109423,;0.957446808510639,0.996960486322188,;0.88145896656535,0.887537993920973,;0.80243161094225,0.838905775075988,;1,1,;0.981762917933131,0.966565349544073,;0.917933130699088,0.917933130699088,;0.753799392097265,0.930091185410334,;
AEHR,2,O,H,|0,0,;0.0217391304347826,0.224489795918368,;0.630434782608696,0.571428571428572,;0.869565217391304,0.795918367346939,;0.739130434782609,0.755102040816326,;0.782608695652174,0.714285714285715,;0.760869565217392,0.693877551020408,;0.826086956521739,0.755102040816326,;0.826086956521739,0.755102040816326,;0.847826086956522,0.795918367346939,;0.782608695652174,0.836734693877551,;0.869565217391304,0.795918367346939,;0.673913043478261,0.836734693877551,;0.521739130434783,0.857142857142857,;0.652173913043478,0.693877551020408,;0.891304347826087,0.816326530612245,;1,1,;0.717391304347826,0.959183673469388,;
AEIS,2,O,H,|0.148337595907929,0.12158805915929,;0.186701278772378,0.344912817639499,;0.294118158567775,0.295285286529706,;0.0741690537084399,0.230769173506409,;0,0,;0.271100255754476,0.250620285205885,;0.158568030690538,0.250620285205885,;0.0971869565217391,0.27791581193156,;0.276214833759591,0.357320010590569,;0.506394373401534,0.543424182773156,;0.769820971867008,0.746898077692785,;1,0.942927557586214,;0.882353196930946,0.94789058364998,;0.843990025575448,0.791563079016606,;0.815857033248081,1,;0.841432480818414,0.808932801753648,;0.831202046035806,0.789081690054171,;0.81074168797954,0.806451412791213,;
AEMD,2,O,H,|0,0.18,;0.197916666666667,0,;0.645833333333333,0.38,;0.34375,0.4,;0.197916666666667,0.17,;0.5625,0.75,;0.364583333333334,0.48,;0.635416666666667,0.79,;0.166666666666667,0.71,;0.6875,0.42,;0.208333333333334,0.32,;0.5625,0.59,;0.916666666666667,0.64,;0.875,0.89,;0.791666666666667,0.69,;0.979166666666667,1,;0.802083333333334,0.96,;1,0.74,;
AEPI,2,O,H,|0.212022139448713,0.473451249771572,;1,1,;0.319125504016284,0.789085514614382,;0.0524594420853672,0.0191736016480243,;0.287432177610453,0.241887941281407,;0.137705215802138,0.197639704666623,;0,0.314158895893643,;0.0546447967989515,0.264011985842476,;0.0568311351188773,0,;0.314754576009928,0.075221545017927,;0.363934565260205,0.446902573289465,;0.37923510836391,0.379056103105621,;0.72896148000842,0.833333751229167,;0.733333173041929,0.647492720869133,;0.68524629830682,0.820058823017526,;0.547541191794275,0.56932176538669,;0.36939937280888,0.328908013113276,;0.662295592940854,0.609144190139261,;
AERI,2,O,H,|0,0.0546283763277689,;0.0482759999999998,0,;0.209655310344828,0.0743550834597873,;0.143448413793103,0.0910470409711681,;0.344827586206897,0.223065098634294,;0.380689793103448,0.373292716236722,;0.503448551724138,0.430955993930197,;0.604138068965517,0.552655538694992,;0.805517379310345,0.734446130500759,;0.863448413793103,0.820940819423368,;0.924138068965517,0.933232169954476,;0.835862344827586,0.911987860394537,;0.769655172413793,0.798179059180576,;0.780689655172414,0.770864946889226,;0.893793379310345,0.830804248861912,;0.860689655172414,0.846737481031866,;1,0.943854172989378,;0.812414068965517,1,;
AETI,2,O,H,|0.451807228915663,0.36864406779661,;0.463855421686747,0.402542372881356,;0.457831325301205,0.288135593220339,;0.421686746987952,0.292372881355932,;0.457831325301205,0.427966101694915,;0.620481927710843,0.614406779661017,;0.783132530120482,0.529661016949152,;1,0.76271186440678,;0.13855421686747,1,;0.0542168674698794,0.0635593220338984,;0.0481927710843374,0.0211864406779662,;0.0662650602409638,0,;0.0481927710843374,0.0593220338983051,;0,0.0127118644067798,;0.0301204819277109,0.0127118644067798,;0.036144578313253,0.0211864406779662,;0.036144578313253,0.0381355932203391,;0.120481927710843,0.0635593220338984,;
AEY,2,O,H,|0.857142857142857,0.727272727272727,;0.285714285714286,0.727272727272727,;0.0714285714285714,0,;0.285714285714286,0.0909090909090909,;0.357142857142857,0.0909090909090909,;0,0.0909090909090909,;0,0.181818181818182,;0.285714285714286,0,;0.714285714285714,0.545454545454545,;0.428571428571429,0.454545454545455,;0.642857142857143,0.636363636363636,;0.785714285714286,0.636363636363636,;0.642857142857143,0.727272727272727,;0.928571428571429,0.818181818181818,;0.857142857142857,0.909090909090909,;0.857142857142857,1,;1,0.909090909090909,;0.714285714285714,1,;
AEZS,2,O,H,|0,0,;0.0123456790123458,0.0329670329670331,;0.102880658436214,0.0915750915750916,;0.127572016460905,0.164835164835165,;0.193415637860082,0.234432234432234,;0.20164609053498,0.223443223443224,;0.259259259259259,0.230769230769231,;0.563786008230453,0.501831501831502,;0.662551440329218,0.58974358974359,;0.670781893004115,0.597069597069597,;0.761316872427984,0.706959706959707,;0.724279835390947,0.80952380952381,;0.843621399176955,0.758241758241758,;0.827160493827161,0.78021978021978,;0.831275720164609,0.791208791208791,;1,0.915750915750916,;0.938271604938271,1,;0.765432098765432,0.831501831501832,;
