ABAC,2,O,H,|0.131578947368421,0,;0,0,;0.368421052631579,0.142857142857143,;0.473684210526316,0.321428571428571,;0.447368421052632,0.5,;0.394736842105263,0.178571428571429,;0,0.0714285714285715,;0.394736842105263,0.178571428571429,;0.263157894736842,0.0714285714285715,;0.447368421052632,0.25,;0.447368421052632,0.25,;0.184210526315789,0.357142857142857,;0.526315789473684,0.357142857142857,;1,1,;0.421052631578948,0.285714285714286,;0.631578947368421,0.5,;0.552631578947368,0.535714285714286,;0.526315789473684,0.464285714285714,;
ABAX,2,O,H,|0,0.00141414427157045,;0.12396685335699,0,;0.357733142321875,0.172559688826025,;0.242030635662488,0.123055021216407,;0.341204330862887,0.182460678925035,;0.482880869629485,0.435643281471004,;0.590318911527488,0.524752333804808,;0.646989527034127,0.589815841584158,;0.645808653083507,0.595473691654879,;0.671782803254498,0.568599151343706,;1,0.903818811881189,;0.964580865308351,1,;0.884297493340613,0.847241584158416,;0.697756953425491,0.770862376237623,;0.682408543661994,0.698726732673268,;0.642266857678124,0.53041018387553,;0.446280979050998,0.452616265912305,;0.321133251743389,0.301272560113155,;
ABCB,2,O,H,|0,0,;0.20934590304826,0.186538233358032,;0.302803812035958,0.248076683062176,;0.388785275220458,0.401922615014882,;0.35700958616464,0.37307665902372,;0.431775726438981,0.424999725961591,;0.418691806096521,0.457691642751607,;0.50093439217406,0.507692017751535,;0.586915481526923,0.601922384245696,;0.742055984278137,0.773076774408313,;0.930840773517468,0.949999625000072,;1,1,;0.955140016770087,0.98076865754449,;0.876635747052057,0.899999826923111,;0.848598000524112,0.890383867233872,;0.848598000524112,0.848076759985239,;0.770093730806082,0.792307347633202,;0.689719929076662,0.811537728550438,;
ABCD,2,O,H,|0,0,;0.181818181818181,0.118279569892473,;0.311688311688312,0.21505376344086,;0.272727272727273,0.290322580645162,;0.35064935064935,0.204301075268817,;0.506493506493506,0.333333333333334,;0.571428571428571,0.559139784946237,;0.662337662337662,0.591397849462365,;0.571428571428571,0.580645161290322,;0.61038961038961,0.473118279569893,;0.805194805194806,0.623655913978494,;0.844155844155844,0.591397849462365,;0.831168831168831,0.677419354838709,;0.831168831168831,0.677419354838709,;0.948051948051948,0.677419354838709,;1,1,;0.974025974025975,0.731182795698925,;0.935064935064935,0.698924731182796,;
ABCO,2,O,H,|0,0,;0.150327050493275,0.5,;0.307189555299238,0.498442678642579,;0.243464259739742,0.327102594112958,;0.147059078239013,0.149532601100499,;0.284313912918016,0.291277193544297,;0.240196287485479,0.316199319688262,;0.326797225426197,0.348909454488926,;0.441176417723979,0.433021785988095,;0.683006364539364,0.604361091701275,;0.897058710592135,0.929906364456811,;1,1,;0.950980579584683,0.929906364456811,;0.823529171472628,0.789719872186875,;0.897058710592135,0.82866069428682,;0.740196205786173,0.755451637212348,;0.735293757208943,0.644859858211794,;0.72222219498912,0.730529666831671,;
ABCW,2,O,H,|0,0,;0.465046363207791,0.230769150080716,;0.462006242551293,0.475524658907461,;0.866261742777586,0.912587443151244,;0.449847887584228,0.269231024744395,;0.486322648534149,0.27972018191602,;0.44072965327366,0.398601259230327,;0.349544574606511,0.370629940339181,;0.349544574606511,0.367132738764776,;0.446808678781556,0.18881147244354,;0.848024362302625,0.650349772604974,;1,0.965035676560952,;0.863221622121087,1,;0.620060905756563,0.423076425497752,;0.699087629456648,0.636363413858947,;0.762918309143372,0.580419377475742,;0.924012181151313,0.737762329453731,;0.969605480363076,0.933566806445172,;
ABDC,2,O,H,|0,0,;0.0778588807785889,0.177884615384615,;0.40389294403893,0.331730769230769,;0.62287104622871,0.567307692307692,;0.78345498783455,0.730769230769231,;0.671532846715329,0.788461538461538,;0.778588807785888,0.704326923076923,;0.525547445255475,0.721153846153846,;0.506082725060828,0.487980769230769,;0.690997566909976,0.615384615384615,;0.59367396593674,0.721153846153846,;0.632603406326035,0.701923076923076,;0.778588807785888,0.820673076923076,;0.909975669099757,0.850961538461538,;1,0.923076923076923,;0.827250608272507,1,;0.603406326034063,0.899038461538461,;0.559610705596107,0.598557692307692,;
ABEO,2,O,H,|0.222222222222222,0.19,;0,0.44,;0.0404040404040404,0,;0.191919191919192,0.25,;0.373737373737373,0.63,;0.373737373737373,0.39,;0.535353535353535,0.52,;0.797979797979798,0.78,;0.737373737373738,0.98,;0.656565656565657,0.78,;0.777777777777778,0.84,;0.838383838383839,0.98,;0.909090909090909,0.87,;0.98989898989899,0.97,;0.96969696969697,1,;0.848484848484849,0.96,;0.919191919191919,0.87,;1,0.93,;
ABGB,2,O,H,|0,0,;0.137254901960784,0.319148936170213,;0.274509803921568,0.382978723404255,;0.333333333333333,0.276595744680851,;0.254901960784313,0.25531914893617,;0,0.170212765957447,;0.235294117647059,0.170212765957447,;0.0862745098039212,0.297872340425532,;0.235294117647059,0.297872340425532,;0.235294117647059,0.276595744680851,;0.215686274509804,0.425531914893617,;0.607843137254902,0.617021276595744,;0.823529411764706,0.851063829787234,;0.803921568627451,0.851063829787234,;0.784313725490196,0.978723404255319,;0.803921568627451,0.978723404255319,;0.862745098039216,0.914893617021277,;1,1,;
ABIL,2,O,H,|0.0842105263157887,0.0266666666666669,;0.142105263157895,0.0933333333333337,;0.294736842105263,0.177777777777778,;0.305263157894737,0.208888888888889,;0.352631578947369,0.248888888888889,;0.352631578947369,0.226666666666667,;0.347368421052631,0.222222222222222,;0.51578947368421,0.364444444444445,;0.694736842105263,0.537777777777778,;0.352105263157894,0.511111111111111,;0,0.271111111111112,;0.057894736842105,0.0444444444444451,;0.0842105263157887,0,;1,0.773333333333333,;0.194736842105263,0.0933333333333337,;0.510526315789473,0.364444444444445,;0.48421052631579,0.395555555555556,;0.51578947368421,1,;
