ADP,2,O,H,|0,0,;0.0767678632792195,0.125423757157911,;0.25252520151006,0.158192239139489,;0.204040867870531,0.12429358741098,;0.162626330782559,0.0711861177821739,;0.211111472502734,0.0960449934564956,;0.28282852872151,0.220338580867476,;0.428283347821545,0.374011044974247,;0.587879477196065,0.543502608701154,;0.61515179491883,0.541243060167924,;0.903030423630218,0.897174666028173,;1,0.983050617638558,;0.975757782675195,1,;0.869696895010728,0.849717254173392,;0.917171733904701,0.894915230489317,;0.863636492194648,0.854237142200484,;0.800000444444355,0.771751699830892,;0.704040463830209,0.654237435985862,;
ADRA,2,O,H,|0,0,;0.327703267667814,0.298701298701298,;0.29054078022271,0.243506493506494,;0.29054078022271,0.243506493506494,;0.327703267667814,0.279221103896103,;0.327703267667814,0.279221103896103,;0.527027524652863,0.470779545454545,;0.557432244110728,0.545454545454546,;0.777027440193433,0.711039285714286,;0.682432539718736,0.711039285714286,;0.45608126483741,0.837662337662338,;0.976351697178481,0.902597727272727,;0.976351697178481,0.902597727272727,;0.807432835326745,1,;0.635135596237974,0.574675649350649,;1,0.925324675324675,;0.868242949917923,0.798700974025974,;0.875000042229715,0.805194805194805,;
ADRD,2,O,H,|0,0,;0.15668202764977,0.292035398230089,;0.152073732718893,0.146017699115044,;0.276497695852535,0.265486725663718,;0.244239631336406,0.247787168141594,;0.267281105990783,0.256637168141592,;0.3963133640553,0.380530973451328,;0.511520737327189,0.535398672566371,;0.723501843317973,0.69468982300885,;0.654377880184332,0.663716814159293,;0.889400921658987,0.867257079646018,;1,0.960176991150443,;0.963133640552996,1,;0.963133640552996,0.924778761061948,;0.981567281105992,0.960176991150443,;0.880184331797236,0.946902212389381,;0.723501843317973,0.738938053097345,;0.792627188940093,0.761062389380532,;
ADRE,2,O,H,|0,0,;0.0862944162436548,0.265508436724565,;0.162436802030456,0.220843920595533,;0.139594162436548,0.136476674937965,;0.131979695431472,0.138958064516129,;0.312182487309644,0.36724540942928,;0.258883248730964,0.320099255583126,;0.477157614213198,0.501240694789082,;0.588832233502538,0.593052357320099,;0.568527664974619,0.560794044665012,;0.82741116751269,0.823821091811414,;0.911167512690355,0.890818858560794,;0.939086294416243,0.955334987593051,;0.92385812182741,0.970223076923076,;1,1,;0.959390862944162,0.987592803970223,;0.847715736040609,0.895781637717121,;0.809644670050761,0.858561042183622,;
ADRO,2,O,H,|0,0,;0.0696901625763452,0.111351243243243,;0.257743391343295,0.228540324324324,;0.227876020782746,0.261621621621621,;0.320796385043848,0.316756540540541,;0.363937982736502,0.340540432432433,;0.40929185943494,0.404324324324324,;0.569690217886086,0.567567567567568,;0.683628394206681,0.655135027027027,;0.71902662821091,0.695134918918919,;0.89269910317468,0.913513405405405,;0.90818583055153,0.945945945945946,;0.82079655097307,0.891891891891892,;0.839601862787817,0.849729513513514,;0.832964472673061,0.822702486486487,;0.707964569465108,0.816216108108108,;1,1,;0.973451324496828,0.971891891891892,;
ADRU,2,O,H,|0,0,;0.0790697674418613,0.20183522851595,;0.288371627906977,0.284403080549046,;0.265116279069768,0.261467769968913,;0.195348837209303,0.20183522851595,;0.339534883720931,0.334862231714573,;0.306976744186047,0.348624152007269,;0.432558604651163,0.4908254629241,;0.58139534883721,0.63302677384093,;0.613953488372094,0.642201540274522,;0.925581395348839,0.912843617961644,;0.972093023255814,0.95871515655268,;0.958139534883721,1,;0.953488372093024,0.940366541116266,;1,0.986238079707302,;0.865116744186047,0.912843617961644,;0.758139069767443,0.747705620318523,;0.716278604651164,0.724770309738391,;
ADSK,2,O,H,|0,0,;0.0044364700750559,0.127118654840564,;0.362023021126183,0.314406721559892,;0.401064561158673,0.435593172507896,;0.382431102903675,0.355084606363102,;0.459627137400936,0.432203256966378,;0.653948679307428,0.62118632382935,;0.751552795582181,0.715254128411367,;0.834072789378097,0.799999898305076,;0.800354853719558,0.777966167624252,;0.988465213297325,0.973728641841411,;1,1,;0.986690589774832,0.970339065282972,;0.94853609531006,0.89830499138178,;0.979591918222508,0.930508468687159,;0.908607066053971,0.917796518457332,;0.856255583409258,0.837288291295618,;0.769299119538285,0.785593286914686,;
ADTN,2,O,H,|0.559999999999999,0.548779268292685,;0.48,0.682926829268291,;1,0.951218292682927,;0.5,1,;0.379999000000002,0.365853658536586,;0.610001,0.890243902439025,;0,0.390243902439025,;0.0700000000000003,0.109756097560975,;0.32,0,;0.110001,0.0121963414634135,;0.360001,0.182926829268291,;0.549999,0.317074390243901,;0.309999999999999,0.268292682926828,;0.399999999999999,0.243901219512197,;0.330000000000002,0.219513414634147,;0.440000999999999,0.256096341463414,;0.390000000000001,0.268292682926828,;0.649999999999999,0.426830487804877,;
ADUS,2,O,H,|0,0,;0.151193368700266,0.0460119631901844,;0.408488328912467,0.481594785276074,;0.427055702917772,0.447853067484663,;0.363395225464191,0.282208588957056,;0.432361007957559,0.595092024539877,;0.779840848806366,0.822085889570552,;0.594164190981432,0.815950613496933,;0.549071352785146,0.57975490797546,;0.562334217506631,0.466257668711657,;0.854111671087532,0.95398773006135,;1,1,;0.766578514588859,0.95398773006135,;0.718833156498674,0.613496932515337,;0.689655172413793,0.662576380368099,;0.779840848806366,0.714723926380368,;0.952254641909813,0.871165644171779,;0.819628647214853,0.960123006134969,;
ADXS,2,O,H,|0,0,;0.0766045548654244,0.0763209393346379,;0.19047619047619,0.213307240704501,;0.0331262939958592,0.238747553816047,;0.140786749482402,0.143248532289628,;0.178053830227743,0.207436399217221,;0.196687370600414,0.158512720156556,;0.399585921325052,0.371819960861057,;0.428571428571429,0.538160469667319,;0.418219461697722,0.504892367906067,;0.768115942028986,0.741682974559687,;0.848861283643892,0.802348336594912,;0.91304347826087,0.849315068493151,;0.944099378881988,0.868884540117417,;0.935817805383023,0.925636007827789,;1,0.947162426614481,;1,0.954990215264188,;0.9648033126294,1,;
