AFAM,2,O,H,|0,0.0965344059405947,;0.262570523703617,0.292079207920792,;0.667598509721502,0.631187871287128,;1,1,;0.966480744982824,0.920792326732673,;0.81564256109354,0.930693564356434,;0.555866169907167,0.556930693069306,;0.614525075684315,0.621287623762375,;0.108939603944355,0.591583910891089,;0.04189997659219,0,;0.20949708966643,0.153464851485149,;0.47765420242782,0.306930940594061,;0.368715995130728,0.438118811881188,;0.301676367778566,0.304455198019803,;0.466480744982823,0.353960396039603,;0.72905015136863,0.529702722772277,;0.653630919759262,0.579207920792079,;0.539106123404399,0.455445544554456,;
AFFX,2,O,H,|0.969365426695842,0.984478935698448,;0.971553610503282,0.968957871396896,;0.969365426695842,0.957871396895787,;1,0.98669623059867,;0.958424507658643,1,;0,0,;0.0350109409190372,0.00221729490022168,;0.0875273522975931,0.0709534368070954,;0.0765864332603938,0.108647450110865,;0.109409190371991,0.121951219512195,;0.12691466083151,0.164079822616408,;0.148796498905908,0.124168514412417,;0.098468271334792,0.130820399113082,;0.074398249452954,0.0687361419068737,;0.0765864332603938,0.06430155210643,;0.0962800875273522,0.06430155210643,;0.0787746170678336,0.0576496674057649,;0.0787746170678336,0.0465631929046561,;
AFH,2,O,H,|0,0,;0.0776699029126209,0.0284697610212666,;0.200646925566343,0.113879044085069,;0.268608414239483,0.153024965489311,;0.181229773462783,0.128114280467716,;0.546925889967637,0.455516532212288,;0.488673139158577,0.487545013361214,;0.54368932038835,0.516014774382482,;0.631068284789644,0.548043255531408,;0.621359223300971,0.629893462595538,;0.802588996763754,0.836299229999726,;0.854368932038835,0.804270748850801,;0.883495145631068,0.91103199680854,;0.867313915857605,1,;1,0.953736994212453,;0.831715210355987,0.985765475361379,;0.705501618122977,0.82206399361708,;0.556633980582525,0.604982777573942,;
AFMD,2,O,H,|0,0,;0.051764705882353,0.0750293083235638,;0.190588235294118,0.211723329425557,;0.228235294117647,0.255568581477139,;0.341176470588235,0.464243845252052,;0.454117647058824,0.475967174677608,;0.527058823529412,0.520750293083236,;0.607058823529412,0.58147713950762,;0.724705882352941,0.696365767878077,;0.816470588235294,0.801875732708089,;0.816470588235294,0.830011723329425,;0.823529411764706,0.839390386869871,;0.854117647058824,0.860492379835873,;0.88,0.865181711606096,;0.915294117647059,0.930832356389214,;0.964705882352941,0.998827667057444,;0.938823529411765,0.949589683470105,;1,1,;
AFOP,2,O,H,|0,0,;0.168582375478927,0.152610441767069,;0.318007662835249,0.269076305220883,;0.252873563218391,0.216867469879518,;0.218390804597701,0.236947791164659,;0.222222222222222,0.160642570281125,;0.302681992337164,0.257028112449799,;0.367816091954023,0.385542168674699,;0.521072796934866,0.493975903614458,;0.582375478927203,0.590361445783133,;0.877394636015326,0.815261044176707,;1,0.951807228915663,;0.950191570881226,0.975904016064257,;0.938697318007663,1,;0.85823754789272,0.931726907630522,;0.839080459770115,0.811244979919678,;0.804597701149425,0.763052208835341,;0.789272030651341,0.779116465863454,;
AFSI,2,O,H,|0,0.0423339768496594,;0.0640177633534481,0.105262917017973,;0.113686742418682,0.125857880336627,;0.0397350949519762,0,;0.124724158418967,0.0949654353586453,;0.337748417467062,0.263157750210783,;0.341059565004463,0.337528679916627,;0.646799045607169,0.646452672030586,;0.654525314070054,0.697940194743684,;0.624723882480808,0.584668125324013,;0.817880594052914,0.760869134911998,;0.843267346217732,0.850114319208887,;1,1,;0.853200678454671,0.959953551492728,;0.696468024672403,0.83752839387547,;0.779249472489021,0.733409527069847,;0.714128066873281,0.760869134911998,;0.669977740620559,0.685354383826729,;
AGEN,2,O,H,|0,0,;0.0196078431372548,0.107142857142857,;0.241830065359477,0.214285714285714,;0.196078431372549,0.285714285714286,;0.359477124183006,0.363095238095238,;0.450980392156863,0.434523809523809,;0.562091503267974,0.511904761904762,;0.738562091503268,0.690476190476191,;0.895424836601307,0.797619047619048,;0.816993464052287,0.738095238095238,;0.928104575163399,0.857142857142858,;0.875816993464052,0.863095238095238,;0.901960784313725,0.815476190476191,;1,0.898809523809524,;0.849673202614379,1,;0.823529411764706,0.773809523809524,;0.823529411764706,0.785714285714286,;0.823529411764706,0.761904761904762,;
AGFS,2,O,H,|0.540816326530612,0.5,;0.612244897959183,0.56989247311828,;0.377551020408163,0.419354838709677,;0.443877551020408,0.311827956989247,;0.642857142857142,0.494623655913979,;0.551020408163265,0.526881720430108,;0.653061224489795,0.419354838709677,;0.795918367346939,0.623655913978495,;0.877551020408163,0.74731182795699,;0.806122448979592,0.731182795698925,;0.938775510204081,0.731182795698925,;0.989795918367346,0.913978494623656,;0.795918367346939,1,;1,0.784946236559141,;0.795918367346939,0.860215053763441,;0.489795918367347,0.602150537634409,;0.0714285714285717,0.290322580645162,;0,0,;
AGII,2,O,H,|0,0,;0,0.136656248126005,;0.251798110863988,0.323151394991737,;0.374100225143803,0.270096419598647,;0.210431399125396,0.167202706237507,;0.388489068888824,0.254019573308749,;0.446043005020501,0.374598332058145,;0.48201439495885,0.435691087509471,;0.480215474742635,0.401929195831319,;0.528776608353738,0.411575657302949,;0.870503463847674,0.627009867040214,;1,0.742765636211312,;0.958632388981155,1,;0.85071911844636,0.673633814528326,;0.895683131049233,0.676848605008263,;0.888488709176724,0.749196021029579,;0.652877822705819,0.662379797045049,;0.636690598312734,0.514469531435766,;
AGIIL,2,O,H,|0.135140175296822,0.151518181818186,;0.648646895548929,0.454542424242425,;0.270272242507451,0.48484545454546,;0.9729730460188,0.878790909090905,;0.486487874357091,0.848484848484847,;1,0.848484848484847,;0.75675741416915,0.848484848484847,;0.0270296566766011,0.848484848484847,;0.70270350620674,0.969693939393942,;0.0810835646390111,0.939390909090908,;0.675673849530139,0.90909393939394,;0,0.333333333333341,;0,0,;0.459460920375891,0.242424242424247,;0,0.90909393939394,;0.91891913805638,1,;0.54054178231951,0.727269696969696,;0.675673849530139,0.666669696969693,;
