ACRS,2,O,H,|0.0787939612068129,0.0390977485604457,;0.022373733232127,0.0655207374350954,;0.0719844287952889,0.018259937514494,;0,0,;0.547665413651224,0.500537003280022,;0.414396944124811,0.400644403936026,;0.522373587317744,0.576798987840923,;0.729571913465767,0.751342508200055,;0.645914528607536,0.755101907100098,;0.694552656171921,0.778195357486075,;0.596303541215609,0.770139717523063,;0.38521406758618,0.657357535698984,;0.902723744871231,0.892588602855919,;0.899805359941113,0.889366153530199,;0.862840480268436,0.922663901467658,;1,1,;0.926070046102135,0.945220187456518,;0.875486296158921,1,;
ACRX,2,O,H,|0,0.0328947368421054,;0.0792682926829268,0,;0.213414634146342,0.0921052631578948,;0.189024390243902,0.131578947368421,;0.365853658536585,0.25,;0.384146341463415,0.361842105263158,;0.420731707317073,0.30921052631579,;0.567073170731707,0.486842105263158,;0.554878048780488,0.578947368421053,;0.554878048780488,0.473684210526316,;0.597560975609756,0.552631578947369,;0.524390243902439,0.526315789473684,;0.591463414634146,0.480263157894737,;0.725609756097561,0.625,;0.768292682926829,0.671052631578947,;0.725609756097561,0.769736842105263,;0.871951219512195,0.776315789473684,;1,1,;
ACSF,2,O,H,|0,0,;0.193877551020409,0.195945945945946,;0.571428571428572,0.371621621621621,;0.663265306122449,0.445945945945946,;0.755102040816326,0.520270270270271,;0.683673469387755,0.45945945945946,;0.724489795918368,0.546621621621622,;0.908163265306123,0.648648648648649,;0.867346938775511,0.675675675675676,;0.89795918367347,0.587837837837838,;1,0.682432432432433,;0.816326530612245,0.689189189189189,;0.765306122448979,0.587837837837838,;0.948979591836736,0.614864864864865,;0.959183673469389,1,;1,0.756756756756757,;0.79591836734694,0.682432432432433,;0.877551020408164,0.582432432432433,;
ACST,2,O,H,|0.100719424460432,0,;0,0.0615384615384616,;0.172661870503597,0.076923076923077,;0.172661870503597,0.076923076923077,;0.223021582733813,0.130769230769231,;0.330935251798561,0.246153846153846,;0.482014388489209,0.407692307692308,;0.589928057553957,0.561538461538462,;0.654676258992806,0.630769230769231,;0.60431654676259,0.653846153846154,;0.618705035971223,0.653846153846154,;0.719424460431655,0.684615384615385,;0.784172661870503,0.730769230769231,;0.76978417266187,0.753846153846154,;0.755395683453237,0.792307692307692,;0.892086330935252,0.846153846153846,;0.841726618705036,0.876923076923077,;1,1,;
ACTA,2,O,H,|0,0,;0.0460829493087556,0.145539906103287,;0.276497695852534,0.267605633802817,;0.32258064516129,0.352112676056338,;0.188940092165899,0.211267605633803,;0.248847926267281,0.272300469483568,;0.52073732718894,0.450704225352113,;0.612903225806452,0.619718309859155,;0.691244239631336,0.699530516431925,;0.820276497695852,0.821596244131455,;0.889400921658986,0.863849765258216,;1,0.924882629107981,;0.889400921658986,0.924882629107981,;0.861751152073732,0.887323943661972,;0.976958525345622,1,;0.695852534562212,0.910798122065727,;0.474654377880184,0.544600938967136,;0.345622119815668,0.384976525821596,;
ACTG,2,O,H,|0.16,0.0454545454545455,;0,0.181818181818182,;0.0500000000000002,0,;0.12,0.0454545454545455,;0.28,0.306818181818182,;0.28,0.284090909090909,;0.55,0.488636363636363,;0.37,0.602272727272728,;0.43,0.352272727272727,;0.68,0.670454545454545,;0.83,0.886363636363637,;0.82,0.75,;0.63,0.772727272727272,;0.59,0.568181818181818,;0.55,0.534090909090909,;0.43,0.556818181818182,;0.68,0.647727272727273,;1,1,;
ACTS,2,O,H,|0,0,;0.375,0.238095238095238,;0.125,0.0476190476190476,;0.125,0.238095238095238,;0.4375,0.285714285714286,;0.5,0.333333333333333,;0.375,0.285714285714286,;0.1875,0.333333333333333,;0.5625,0.428571428571429,;0.4375,0.285714285714286,;0.4375,0.285714285714286,;0.875,0.666666666666667,;1,0.714285714285714,;0.5,0.619047619047619,;0.3125,0.428571428571429,;0.5625,0.380952380952381,;0.9375,0.666666666666667,;0.5625,1,;
ACTX,2,O,H,|0,0,;0.126490066225166,0.126490066225166,;0.14635761589404,0.14635761589404,;0.0927152317880799,0.0927152317880799,;0.112582781456954,0.112582781456954,;0.317880794701987,0.317880794701987,;0.430463576158941,0.430463576158941,;0.589403973509934,0.596026490066225,;0.847682119205298,0.847682119205298,;0.847682119205298,0.847682119205298,;0.854304635761589,0.867549668874173,;0.927152317880795,0.927152317880795,;0.90728476821192,0.90728476821192,;0.901324503311259,0.901324503311259,;1,1,;1,1,;0.741721854304635,0.741721854304635,;0.741721854304635,0.741721854304635,;
ACUR,2,O,H,|0,0,;0.253012048192771,0.0597014925373135,;0.301204819277108,0.149253731343284,;0.265060240963855,0.104477611940298,;0.301204819277108,0.313432835820895,;0.385542168674699,0.298507462686567,;0.626506024096386,0.522388059701493,;0.746987951807229,0.716417910447761,;0.578313253012048,0.850746268656716,;0.831325301204819,0.82089552238806,;0.759036144578313,0.791044776119403,;1,0.985074626865672,;0.566265060240963,1,;0.373493975903614,0.492537313432836,;0.409638554216867,0.253731343283582,;0.373493975903614,0.268656716417911,;0.566265060240963,0.447761194029851,;0.63855421686747,0.537313432835821,;
ACWI,2,O,H,|0,0,;0.158783641686426,0.249563874345549,;0.349662221226727,0.32286265270506,;0.319256810685271,0.301919720767888,;0.304054105414545,0.267015532286212,;0.395270505957855,0.364747120418847,;0.393580809726488,0.424083944153577,;0.537162421817976,0.551483420593368,;0.687500116131777,0.668412216404887,;0.685811264495146,0.656195986038394,;0.890203021993753,0.898778708551483,;0.993243748858741,0.965095811518325,;1,1,;0.915540526273738,0.904014136125654,;0.969594420539599,0.958115532286213,;0.920608432535209,0.944153577661431,;0.80405402095507,0.820244502617802,;0.768581210908988,0.760907678883071,;
