ACET,2,O,H,|0.0156006264587563,0.0873287671232879,;0,0.0256849315068497,;0.123244793017909,0.0325342465753427,;0.110764291850903,0.104452226027397,;0.0842432268710185,0,;0.185647142846669,0.0958902397260276,;0.246489742042081,0.172945205479452,;0.31825262375236,0.583904109589041,;0.502340015965681,0.558219178082192,;0.745709632716011,0.73972602739726,;0.826833046307807,0.897260273972603,;0.85959451787746,0.85958904109589,;0.864274549808822,0.917808390410958,;0.932917306227349,0.928082191780822,;1,0.97602756849315,;0.995319812062373,1,;0.964118715151125,0.996575342465753,;0.97659921631813,0.979451883561643,;
ACFC,2,O,H,|0.148148148148148,0.0816326530612245,;0.185185185185186,0.142857142857143,;0.722222222222223,0.469387755102042,;0.777777777777779,0.469387755102042,;0.518518518518519,0.510204081632653,;1,0.816326530612245,;0.425925925925927,1,;0.481481481481483,0.489795918367347,;0.425925925925927,0.428571428571428,;0.314814814814816,0.244897959183674,;0,0.346938775510204,;0.351851851851853,0,;0.0185185185185198,0.122448979591836,;0.314814814814816,0.693877551020408,;0.351851851851853,0.346938775510204,;0.666666666666667,0.530612244897959,;0.500000000000001,0.448979591836734,;0.777777777777779,0.591836734693877,;
ACGL,2,O,H,|0,0,;0.158607003281427,0.139485103335771,;0.371373915499115,0.242489972645943,;0.489362389398076,0.433476974156454,;0.510639157989208,0.45708210917461,;0.618955687663743,0.568669376393106,;0.392650684090247,0.613733510471991,;0.466150999853966,0.547210591924512,;0.51450685250788,0.549356942474072,;0.541586129994069,0.611588876659523,;0.885879414043119,0.881973681132826,;0.992263063575373,1,;1,0.989269749397159,;0.825918737022498,0.892703931735666,;0.822049495116542,0.881973681132826,;0.837523561389204,0.821888097496934,;0.785300014216618,0.751072477850336,;0.820116228127438,0.869098796717513,;
ACHC,2,O,H,|0,0,;0.0557065444456019,0.21595598349381,;0.500000203804431,0.543328885832187,;0.826087021502862,0.885832049518568,;0.800272065328287,0.808803438789546,;0.654891571287325,0.735901237964237,;0.53940252964777,0.546079917469051,;0.49728281139245,0.548831086657496,;1,0.836313342503438,;0.836956862890026,1,;0.690217400903832,0.607978266850068,;0.846467736331958,0.734525447042641,;0.747282913294666,0.686382668500687,;0.644022273378644,0.535075515818432,;0.740489568134335,0.588721182943604,;0.71875042883849,0.635488720770288,;0.760869739484949,0.595598624484181,;0.543478482396121,0.614855708390647,;
ACHN,2,O,H,|0,0,;0.115501519756839,0.125391849529781,;0.340425531914893,0.266457680250784,;0.270516717325228,0.313479623824451,;0.43161094224924,0.404388714733543,;0.48936170212766,0.514106583072101,;0.610942249240122,0.592476489028213,;0.796352583586626,0.752351097178684,;0.884498480243161,0.858934169278997,;0.930091185410335,0.909090909090909,;1,0.962382445141066,;0.878419452887538,1,;0.793313069908815,0.855799373040753,;0.814589665653496,0.768025078369906,;0.805471124620061,0.824451410658308,;0.756838905775076,0.758620689655172,;0.723404255319149,0.739811912225705,;0.726443768996961,0.670846394984326,;
ACIW,2,O,H,|0,0,;0.044334493678447,0.0906860294117647,;0.16748723337124,0.0955879901960792,;0.150246096119728,0.100490196078431,;0.133004712562737,0.0563723039215693,;0.211822465966124,0.191176225490196,;0.332511904559582,0.308823039215687,;0.359605753597476,0.377450735294118,;0.463054054939423,0.463235049019608,;0.588669849426071,1,;0.741379000339655,0.686274264705883,;0.906403671527998,0.833333088235294,;0.913793082215045,0.840685784313725,;0.822659808536899,0.794117647058824,;0.852216712368648,0.781862254901961,;0.933497520565891,0.855392156862745,;0.911330027421188,0.845587990196078,;1,0.914215441176471,;
ACLS,2,O,H,|0.484848484848485,0.923076923076923,;0.181818181818182,0.769230769230769,;0.151515151515152,0,;0.303030303030303,0.269230769230768,;0,0.115384615384616,;0.363636363636364,0.384615384615385,;0.636363636363636,0.653846153846153,;0.424242424242425,0.692307692307692,;0.666666666666667,0.538461538461538,;0.575757575757575,0.653846153846153,;0.818181818181818,0.884615384615384,;1,1,;0.90909090909091,1,;0.939393939393939,0.884615384615384,;0.878787878787879,0.961538461538461,;0.939393939393939,0.961538461538461,;0.878787878787879,0.923076923076923,;0.818181818181818,0.884615384615384,;
ACNB,2,O,H,|0.212962962962963,0.0348837209302338,;0.212962962962963,0.0930232558139553,;0,0.104651162790697,;0.157408333333332,0,;0.388889814814813,0.232559302325581,;0.361111111111111,0.255812790697675,;0.259258333333333,0.279069767441862,;0.277777777777778,0.244187209302327,;0.35185185185185,0.534884883720931,;0.546297222222222,0.430233720930233,;0.972222222222221,0.965116279069766,;0.916666666666667,0.895348837209303,;0.472223148148146,0.337210465116278,;0.629630555555555,0.534884883720931,;0.61111111111111,0.511627906976744,;0.61111111111111,0.511627906976744,;1,1,;0.314815740740741,0.13953604651163,;
ACOR,2,O,H,|0,0.086162357095375,;0.042083951068556,0,;0.69739451006232,0.501305743443477,;0.404809657390918,0.443864259078716,;0.408817671816564,0.313316024378055,;0.775550590961687,0.650130731002228,;0.605210378673194,0.678851603732844,;0.68136285316118,0.579634423167404,;0.859719294701685,0.749346606085323,;0.777554998975953,0.694516608607516,;0.957915247328558,1,;1,0.984333950739451,;0.993987377159368,0.958224564895789,;0.943887196838799,0.91122720040355,;0.973947705832583,0.898172638029953,;0.991983770747987,0.906005009919056,;0.775550590961687,0.835508963180698,;0.593185934594815,0.574412493779377,;
ACPW,2,O,H,|0,0,;0.352941176470588,0.107142857142857,;0.352941176470588,0.214285714285714,;0.529411764705882,0.285714285714286,;0.558823529411765,0.357142857142857,;0.735294117647059,0.535714285714286,;0.764705882352942,0.642857142857143,;0.764705882352942,0.678571428571429,;0.705882352941177,0.642857142857143,;0.764705882352942,0.785714285714286,;0.911764705882353,0.785714285714286,;0.882352941176471,0.785714285714286,;0.882352941176471,0.821428571428571,;0.852941176470589,0.857142857142857,;0.911764705882353,0.821428571428571,;0.705882352941177,0.750000000000001,;1,0.857142857142857,;0.970588235294118,1,;
